20466,1,1
21004,259,1
20591,299,1
1947,29,1
2490,274,1
15876,257,1
11102,131,1
23440,376,1
12250,254,1
18785,281,1
2894,247,1
14239,254,1
21016,254,1
23974,394,1
24039,369,1
20795,262,1
21555,257,1
23732,401,1
24163,401,1
18049,254,1
13038,276,1
23341,327,1
10376,153,1
22701,297,1
17763,392,1
22924,412,1
9502,255,1
20817,213,1
8239,392,1
22543,28,1
23717,412,1
20250,131,1
22314,241,1
23221,308,1
2138,154,1
22290,308,1
12492,213,1
14069,287,1
15266,51,1
20164,56,1
10387,407,1
21491,294,1
15426,91,1
72,154,1
2530,22,1
12778,155,1
12273,361,1
20582,166,1
22763,184,1
20157,297,1
22978,308,1
21055,263,1
23553,310,1
3042,95,1
2882,101,1
15553,247,1
20663,189,1
22416,366,1
2082,50,1
3742,51,1
8411,17,1
19977,146,1
12058,279,1
20247,303,1
2084,175,1
22178,262,1
10217,290,1
23576,320,1
20252,197,1
275,395,1
12754,218,1
244,352,1
19741,294,1
17891,323,1
20444,248,1
19680,13,1
18065,412,1
15840,288,1
2551,50,1
20215,273,1
20065,134,1
10957,63,1
20023,276,1
21823,393,1
20484,146,1
15941,70,1
22628,418,1
3747,52,1
21091,225,1
23128,411,1
22334,360,1
12209,195,1
23189,274,1
22859,407,1
20176,243,1
2157,35,1
15897,424,1
22228,195,1
20089,359,1
22569,425,1
22391,373,1
526,41,1
19797,266,1
20198,134,1
3183,323,1
22156,248,1
8852,332,1
22174,135,1
23139,397,1
18122,188,1
20290,207,1
6885,405,1
20751,277,1
22417,377,1
20415,228,1
14392,262,1
23423,432,1
22933,198,1
24106,395,1
424,102,1
23639,307,1
22361,177,1
544,323,1
19836,95,1
22307,277,1
2045,102,1
23442,434,1
24157,432,1
9641,249,1
111,360,1
7254,68,1
17664,107,1
2600,189,1
22406,349,1
19270,9,1
20394,172,1
20285,276,1
22402,149,1
6660,120,1
59,388,1
20235,184,1
14115,96,1
22944,41,1
18429,189,1
11713,171,1
4229,58,1
18257,47,1
10374,320,1
19813,207,1
2773,398,1
20699,217,1
6765,67,1
23445,281,1
11090,249,1
12002,58,1
9869,387,1
19722,85,1
3041,155,1
19187,38,1
10882,192,1
16300,406,1
23701,406,1
6881,4,1
23228,45,1
20260,34,1
19798,255,1
2258,17,1
2111,91,1
22810,286,1
8107,402,1
8852,330,1
21376,432,1
2618,402,1
22425,81,1
2340,107,1
202,34,1
334,149,1
4017,189,1
23262,368,1
23569,401,1
7929,119,1
9230,349,1
24077,217,1
463,367,1
22968,68,1
22828,160,1
23634,257,1
9285,181,1
2849,308,1
10394,243,1
23591,349,1
17912,8,1
23216,395,1
13065,277,1
20477,107,1
3855,19,1
20256,367,1
20153,218,1
9657,259,1
17928,160,1
3893,220,1
20706,407,1
23725,369,1
212,218,1
10048,192,1
23035,424,1
22607,185,1
2121,19,1
22310,211,1
22341,291,1
1945,334,1
20592,9,1
22454,338,1
23370,63,1
2602,405,1
10414,269,1
8390,36,1
12031,415,1
8966,408,1
22373,249,1
201,377,1
23632,378,1
19863,423,1
133,73,1
22754,226,1
19231,269,1
23407,378,1
12800,243,1
23193,185,1
22187,211,1
10933,330,1
7843,50,1
10401,52,1
8525,49,1
22284,359,1
22154,350,1
31,46,1
3741,51,1
2676,9,1
22415,408,1
2941,108,1
19871,388,1
12500,276,1
23114,190,1
20116,288,1
23000,207,1
19243,185,1
143,113,1
23241,205,1
50,3,1
3111,352,1
22792,370,1
23279,407,1
367,158,1
22374,268,1
3248,2,1
19764,76,1
22308,159,1
23211,279,1
2673,49,1
12581,173,1
23791,46,1
19734,404,1
23202,350,1
22946,396,1
2014,80,1
3231,370,1
19559,71,1
22992,176,1
22234,276,1
20226,335,1
430,404,1
2874,402,1
8169,404,1
20024,220,1
99,410,1
9743,120,1
8130,36,1
3823,329,1
30,404,1
8049,173,1
23144,387,1
20759,408,1
2333,348,1
227,403,1
17980,348,1
380,168,1
12269,316,1
15950,168,1
1923,103,1
2618,403,1
23580,414,1
10357,398,1
24125,429,1
17727,212,1
22170,135,1
18272,279,1
23583,224,1
2269,370,1
15738,189,1
8406,157,1
22358,237,1
11637,281,1
2150,197,1
18269,197,1
6652,149,1
11308,396,1
11137,404,1
6564,373,1
2714,323,1
22852,219,1
23554,157,1
2218,367,1
