3772,1,375
2437,3,375
5254,3,375
2001,2,370
2045,2,370
2176,3,370
2220,4,370
3050,1,141
2263,2,15
22,1,15
2971,1,15
2263,2,15
3247,2,15
2,1,601
2,1,601
2984,1,512
3999,1,512
2984,1,512
2973,1,512
3999,1,512
4048,1,512
2984,1,512
2023,1,512
4048,1,512
2596,1,601
2596,1,601
2024,2,451
2465,2,451
2012,2,451
2472,2,451
2131,2,451
9278,16,32
11249,16,32
1995,10,3
345,30,2
14849,30,2
22636,64,1
22435,64,1
2934,7,105
3084,2,103
2586,2,103
3001,2,103
2074,2,451
4651,2,451
2048,2,451
9214,5,32
11076,5,32
2937,5,32
11519,5,32
8442,5,32
2064,13,30
4526,13,30
2992,34,2
9133,34,2
22665,49,1
22892,49,1
17695,49,1
15658,49,1
13192,49,1
3635,8,105
4743,15,10
7504,15,10
3069,1,124
2009,1,124
3426,1,103
2350,1,103
3059,1,103
2148,12,28
7587,12,28
7721,12,28
5587,12,28
3204,5,380
7345,14,477
7415,14,477
11333,30,17
10279,30,17
5915,30,17
4503,2,6
4529,2,6
3414,3,185
3425,3,185
5216,10,25
5533,10,25
5083,4,213
1998,1,251
3618,1,251
3844,1,33
3360,1,33
5087,1,571
5088,1,571
8020,1,571
8023,1,571
8072,1,571
2607,3,331
2464,3,331
2803,2,353
2819,2,353
6188,2,37
2385,2,1024
2387,2,1024
2785,1,370
2877,1,370
2686,3,375
6604,3,375
2109,3,375
2996,3,375
